image,evalTime
img_12.jpg,15.811201095581055
img_10.jpg,16.099653244018555
img_15.jpg,16.116942644119263
img_14.jpg,16.22148060798645
img_11.jpg,16.24669075012207
img_8.jpg,16.37676692008972
img_17.jpg,16.544513940811157
img_7.jpg,16.42829132080078
img_5.jpg,16.69286823272705
img_2.jpg,19.796138525009155
img_1.jpg,16.80926752090454
img_13.jpg,16.95404815673828
img_9.jpg,18.220303535461426
img_19.jpg,16.92177176475525
img_3.jpg,17.177704334259033
img_20.jpg,17.27974581718445
img_18.jpg,17.37198233604431
img_16.jpg,17.425566911697388
img_4.jpg,17.46568274497986
img_6.jpg,17.40519118309021

