image,evalTime
img_12.jpg,16.097942113876343
img_10.jpg,16.3775532245636
img_15.jpg,16.572744369506836
img_14.jpg,16.83728575706482
img_11.jpg,16.953853845596313
img_8.jpg,16.880698680877686
img_17.jpg,17.087334871292114
img_7.jpg,17.20599341392517
img_5.jpg,17.369942665100098
img_2.jpg,17.49700927734375
img_1.jpg,17.488572597503662
img_13.jpg,17.53899884223938
img_9.jpg,17.534358978271484
img_19.jpg,17.795048236846924
img_3.jpg,17.859633922576904
img_20.jpg,17.93629813194275
img_18.jpg,17.816511631011963
img_16.jpg,17.74327778816223
img_4.jpg,17.64443349838257
img_6.jpg,17.634262561798096


