image,modelEvalTime,boundingBoxTime,overallTime
img_12.jpg,17.85874080657959,0.02507495880126953,17.88381576538086
img_10.jpg,16.59165048599243,0.05059814453125,16.64224863052368
img_15.jpg,16.560835123062134,0.04174017906188965,16.602575302124023
img_14.jpg,16.87708854675293,0.15047407150268555,17.027562618255615
img_11.jpg,17.440051317214966,0.01496744155883789,17.455018758773804
img_8.jpg,17.38361692428589,0.016804218292236328,17.400421142578125
img_17.jpg,17.36909508705139,0.017175674438476562,17.386270761489868
img_7.jpg,17.54823875427246,0.024863243103027344,17.57310199737549
img_5.jpg,17.561249017715454,0.025122642517089844,17.586371660232544
img_2.jpg,17.65519618988037,0.05000638961791992,17.70520257949829
img_1.jpg,17.679851770401,0.004176616668701172,17.684028387069702
img_13.jpg,17.65620756149292,0.04904055595397949,17.7052481174469
img_9.jpg,17.740156412124634,0.021469831466674805,17.76162624359131
img_19.jpg,17.6372332572937,0.02777862548828125,17.665011882781982
img_3.jpg,17.904406309127808,0.0158078670501709,17.92021417617798
img_20.jpg,17.74324679374695,0.0407717227935791,17.784018516540527
img_18.jpg,17.753368616104126,0.02019953727722168,17.773568153381348
img_16.jpg,17.710528135299683,0.07877874374389648,17.78930687904358
img_4.jpg,17.825989961624146,0.014702320098876953,17.840692281723022
img_6.jpg,17.939516305923462,0.026113510131835938,17.965629816055298

