image,modelEvalTime,boundingBoxTime,overallTime
img_12.jpg,10.408254146575928,0.024083852767944336,10.432337999343872
img_10.jpg,11.285102844238281,0.023278236389160156,11.308381080627441
img_15.jpg,11.721750020980835,0.02702784538269043,11.748777866363525
img_14.jpg,11.845938444137573,0.07538914680480957,11.921327590942383
img_11.jpg,11.963616609573364,0.014628410339355469,11.97824501991272
img_8.jpg,12.213815689086914,0.011610031127929688,12.225425720214844
img_17.jpg,12.162523984909058,0.011386871337890625,12.173910856246948
img_7.jpg,12.30506443977356,0.011753082275390625,12.31681752204895
img_5.jpg,12.446645736694336,0.016896963119506836,12.463542699813843
img_2.jpg,12.384811401367188,0.0327913761138916,12.417602777481079
img_1.jpg,12.449992418289185,0.0029230117797851562,12.45291543006897
img_13.jpg,12.461602926254272,0.031989336013793945,12.493592262268066
img_9.jpg,12.419235229492188,0.014518499374389648,12.433753728866577
img_19.jpg,12.482681512832642,0.018485307693481445,12.501166820526123
img_3.jpg,12.478922128677368,0.010192632675170898,12.489114761352539
img_20.jpg,12.472973585128784,0.025639772415161133,12.498613357543945
img_18.jpg,12.535764217376709,0.012758493423461914,12.548522710800171
img_16.jpg,12.507399320602417,0.04993319511413574,12.557332515716553
img_4.jpg,12.503468990325928,0.009844303131103516,12.513313293457031
img_6.jpg,12.470808744430542,0.017195701599121094,12.488004446029663


